"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/line_init_spec.rb", "Ruby", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/multi_line_spec.rb", "Ruby", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/buffer_max_size_spec.rb", "Ruby", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/highlight_style_spec.rb", "Ruby", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/original_widget_prefix_spec.rb", "Ruby", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/strategy_spec.rb", "Ruby", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options/widget_lists_spec.rb", "Ruby", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 20, 122
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/spec_helper.rb", "Ruby", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 14, 55
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/completion_spec.rb", "Ruby", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 12, 73
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/history_spec.rb", "Ruby", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
